Date,Open,High,Low,Close*,Adj Close**,Statues
26-Mar-21,"1,052.54","1,100.42","1,033.65","1,100.34","1,100.34",Before
29-Mar-21,"1,155.36","1,163.87","1,155.36","1,162.65","1,162.65",Before
30-Mar-21,"1,185.43","1,186.98","1,185.43","1,186.98","1,186.98",Before
31-Mar-21,"1,202.66","1,207.27","1,193.32","1,194.19","1,194.19",Before
1-Apr-21,"1,207.84","1,207.84","1,207.40","1,207.43","1,207.43",Before
5-Apr-21,"1,234.33","1,234.33","1,230.00","1,230.94","1,230.94",Before
6-Apr-21,"1,227.07","1,231.48","1,222.82","1,231.48","1,231.48",Before
7-Apr-21,"1,182.68","1,182.68","1,181.45","1,182.62","1,182.62",Before
8-Apr-21,"1,182.68","1,227.44","1,169.19","1,216.42","1,216.42",Before
9-Apr-21,"1,216.40","1,243.83","1,216.35","1,233.38","1,233.38",Before
12-Apr-21,"1,284.02","1,285.26","1,284.02","1,285.26","1,285.26",Before
13-Apr-21,"1,352.36","1,360.89","1,346.33","1,351.53","1,351.53",Before
14-Apr-21,"1,352.36","1,400.04","1,328.08","1,360.44","1,360.44",Before
15-Apr-21,"1,396.98","1,402.75","1,396.98","1,397.85","1,397.85",Before
16-Apr-21,"1,396.98","1,407.11","1,336.66","1,393.98","1,393.98",Before
19-Apr-21,"1,261.69","1,274.19","1,261.69","1,274.19","1,274.19",Before
20-Apr-21,"1,283.16","1,290.63","1,281.85","1,289.88","1,289.88",Before
21-Apr-21,"1,267.28","1,273.82","1,253.10","1,253.10","1,253.10",Before
22-Apr-21,"1,200.39","1,200.39","1,193.69","1,193.69","1,193.69",Before
23-Apr-21,"1,200.39","1,211.06","1,078.28","1,163.43","1,163.43",Before
26-Apr-21,"1,209.59","1,221.86","1,209.59","1,221.86","1,221.86",Before
27-Apr-21,"1,280.03","1,290.44","1,279.99","1,284.20","1,284.20",Before
28-Apr-21,"1,280.03","1,314.45","1,251.78","1,285.63","1,285.63",Before
29-Apr-21,"1,257.74","1,262.84","1,257.51","1,261.67","1,261.67",Before
30-Apr-21,"1,257.74","1,342.69","1,257.51","1,337.47","1,337.47",Before
3-May-21,"1,409.53","1,409.85","1,408.17","1,408.17","1,408.17",Before
4-May-21,"1,388.95","1,388.97","1,366.59","1,369.16","1,369.16",Before
5-May-21,-,-,-,-,-,Before
6-May-21,"1,465.81","1,465.81","1,463.35","1,463.35","1,463.35",Before
7-May-21,"1,465.81","1,520.02","1,431.58","1,473.19","1,473.19",Before
10-May-21,"1,470.20","1,470.23","1,470.20","1,470.23","1,470.23",Before
11-May-21,-,-,-,-,-,Before
12-May-21,"1,482.69","1,484.45","1,422.59","1,424.22","1,424.22",Before
13-May-21,"1,344.33","1,344.33","1,337.90","1,338.41","1,338.41",Before
14-May-21,"1,344.33","1,436.73","1,316.31","1,404.96","1,404.96",Before
17-May-21,"1,228.82","1,228.82","1,214.46","1,215.69","1,215.69",Before
18-May-21,"1,217.54","1,217.54","1,201.98","1,215.35","1,215.35",Before
19-May-21,962.17,"1,019.02",962.17,"1,009.62","1,009.62",Before
20-May-21,-,-,-,-,-,Before
21-May-21,"1,066.17","1,104.48",846.13,933.13,933.13,Before
24-May-21,845.02,"1,011.64",827.27,998.07,998.07,Before
25-May-21,-,-,-,-,-,Before
26-May-21,"1,020.33","1,030.84","1,016.23","1,028.28","1,028.28",Before
27-May-21,"1,014.21","1,025.55","1,014.21","1,025.55","1,025.55",Before
28-May-21,"1,014.21","1,025.55",894.5,902.14,902.14,Before
1-Jun-21,958.15,965.91,951.61,965.76,965.76,Before
2-Jun-21,"1,010.45","1,012.79","1,001.55","1,001.55","1,001.55",Before
3-Jun-21,"1,038.92","1,038.98","1,035.45","1,036.85","1,036.85",Before
4-Jun-21,"1,038.92","1,050.74",943.27,992.54,992.54,Before
7-Jun-21,916.34,916.34,916.34,916.34,916.34,Before
8-Jun-21,899.46,902.33,893.73,901.32,901.32,Before
9-Jun-21,949.1,949.1,947.65,947.65,947.65,Before
10-Jun-21,-,-,-,-,-,Before
11-Jun-21,939.71,955.51,920.13,921.64,921.64,Before
14-Jun-21,998.42,"1,005.98",998,"1,002.39","1,002.39",Before
15-Jun-21,995.57,995.57,995.56,995.56,995.56,Before
16-Jun-21,959.79,963.07,957.53,958.18,958.18,Before
17-Jun-21,937.59,937.59,936.22,936.92,936.92,Before
18-Jun-21,937.59,949.58,871.46,884.86,884.86,Before
21-Jun-21,778.09,778.09,775.77,776.68,776.68,Before
22-Jun-21,773.59,775.6,762.35,773.78,773.78,Before
23-Jun-21,793.81,793.81,793.81,793.81,793.81,Before
24-Jun-21,836.93,838.04,836.93,838.04,838.04,Before
25-Jun-21,836.93,853.01,757.65,772.39,772.39,Before
28-Jun-21,844.42,848.66,835.74,837.68,837.68,Before
29-Jun-21,882.14,882.14,880.82,881.52,881.52,Before
30-Jun-21,864.69,868.54,863.99,867.51,867.51,Before
1-Jul-21,827.61,830.17,825.4,828.08,828.08,Before
2-Jul-21,827.61,835.21,801.54,816.95,816.95,Before
6-Jul-21,850.51,876.55,837.06,853.13,853.13,Before
7-Jul-21,871.51,871.51,871.51,871.51,871.51,Before
8-Jul-21,816.12,816.12,816.12,816.12,816.12,Before
9-Jul-21,809.39,838.07,793.65,837.8,837.8,Before
12-Jul-21,804.22,804.22,804.22,804.22,804.22,Before
13-Jul-21,788.29,789.79,786.99,786.99,786.99,Before
14-Jul-21,788.29,802.77,761.23,795.15,795.15,Before
15-Jul-21,769.61,772.91,768.74,772.34,772.34,Before
16-Jul-21,769.61,779.55,748.57,763.07,763.07,Before
19-Jul-21,734.02,739.09,734.02,738.73,738.73,Before
20-Jul-21,710.86,711.61,709.61,710.12,710.12,Before
21-Jul-21,765.59,773.41,765.56,771.43,771.43,Before
22-Jul-21,779.47,781.15,777.4,778.71,778.71,Before
23-Jul-21,779.47,800.87,774.71,793.84,793.84,Before
26-Jul-21,885.23,890.8,879.05,885.11,885.11,Before
27-Jul-21,905.6,907.13,902.17,907.13,907.13,Before
28-Jul-21,938.33,938.33,938.33,938.33,938.33,Before
29-Jul-21,932.59,937.75,932.16,936.9,936.9,Before
30-Jul-21,932.59,958.38,912.9,955.03,955.03,Before
2-Aug-21,959.32,965.97,959.2,965.09,965.09,Before
3-Aug-21,928.35,928.35,928.35,928.35,928.35,Before
4-Aug-21,977.06,977.06,977.06,977.06,977.06,Before
5-Aug-21,"1,005.54","1,005.54","1,005.54","1,005.54","1,005.54",Before
6-Aug-21,"1,009.90","1,053.92",986.19,"1,041.16","1,041.16",Before
9-Aug-21,"1,084.36","1,138.52","1,045.85","1,113.64","1,113.64",Before
10-Aug-21,"1,130.56","1,134.40","1,130.56","1,132.08","1,132.08",Before
11-Aug-21,"1,130.56","1,167.95","1,118.92","1,157.26","1,157.26",Before
12-Aug-21,"1,101.88","1,103.20","1,097.23","1,097.23","1,097.23",Before
13-Aug-21,"1,101.88","1,185.60","1,088.39","1,183.17","1,183.17",Before
16-Aug-21,"1,167.02","1,174.89","1,165.91","1,169.59","1,169.59",Before
17-Aug-21,"1,123.24","1,126.41","1,118.20","1,118.20","1,118.20",Before
18-Aug-21,"1,116.77","1,127.06","1,116.77","1,124.41","1,124.41",Before
19-Aug-21,"1,176.27","1,176.27","1,168.23","1,172.95","1,172.95",Before
20-Aug-21,"1,176.27","1,236.35","1,168.23","1,230.01","1,230.01",Before
23-Aug-21,"1,259.24","1,259.80","1,254.77","1,258.12","1,258.12",Before
24-Aug-21,"1,259.24","1,263.89","1,196.92","1,217.43","1,217.43",Before
25-Aug-21,"1,229.59","1,232.69","1,225.44","1,225.53","1,225.53",Before
26-Aug-21,"1,184.19","1,188.16","1,182.20","1,187.33","1,187.33",Before
27-Aug-21,"1,184.19","1,233.98","1,159.30","1,231.85","1,231.85",Before
30-Aug-21,"1,227.21","1,237.47","1,190.72","1,231.43","1,231.43",Before
31-Aug-21,"1,225.77","1,234.39","1,179.95","1,210.52","1,210.52",Before
1-Sep-21,"1,271.69","1,279.53","1,271.69","1,276.05","1,276.05",Before
2-Sep-21,"1,303.76","1,303.81","1,299.73","1,300.12","1,300.12",Before
3-Sep-21,"1,303.76","1,341.37","1,265.63","1,306.21","1,306.21",Before
7-Sep-21,"1,181.60","1,188.44","1,176.86","1,184.38","1,184.38",Before
8-Sep-21,"1,182.92","1,204.55","1,182.92","1,204.55","1,204.55",Before
9-Sep-21,"1,197.49","1,200.32","1,195.16","1,197.22","1,197.22",Before
10-Sep-21,"1,197.49","1,215.20","1,129.28","1,136.43","1,136.43",Before
13-Sep-21,"1,166.74","1,196.12","1,109.10","1,149.40","1,149.40",Before
14-Sep-21,"1,182.76","1,189.96","1,182.76","1,189.96","1,189.96",Before
15-Sep-21,"1,235.06","1,235.13","1,232.25","1,233.19","1,233.19",Before
16-Sep-21,"1,221.60","1,223.29","1,219.57","1,219.99","1,219.99",Before
17-Sep-21,"1,221.60","1,233.94","1,185.94","1,193.48","1,193.48",Before
20-Sep-21,"1,082.46","1,092.96","1,082.46","1,092.96","1,092.96",Before
21-Sep-21,"1,082.46","1,094.45","1,010.38","1,016.33","1,016.33",Before
22-Sep-21,"1,025.77","1,102.07",996.36,"1,089.55","1,089.55",Before
23-Sep-21,"1,121.24","1,124.17","1,114.72","1,116.17","1,116.17",Before
24-Sep-21,"1,121.24","1,128.89","1,009.13","1,071.16","1,071.16",Before
27-Sep-21,"1,066.57","1,074.17","1,066.46","1,074.17","1,074.17",Before
28-Sep-21,"1,066.57","1,074.95","1,014.68","1,033.22","1,033.22",Before
29-Sep-21,"1,020.79","1,021.77","1,018.16","1,018.44","1,018.44",Before
30-Sep-21,"1,082.22","1,082.83","1,079.91","1,081.39","1,081.39",Before
1-Oct-21,"1,082.22","1,195.45","1,073.53","1,188.78","1,188.78",Before
4-Oct-21,"1,210.81","1,212.88","1,207.52","1,208.86","1,208.86",Before
5-Oct-21,"1,273.94","1,274.16","1,273.01","1,274.16","1,274.16",Before
6-Oct-21,"1,325.85","1,329.64","1,322.66","1,323.48","1,323.48",Before
7-Oct-21,"1,320.65","1,322.47","1,309.26","1,310.10","1,310.10",Before
8-Oct-21,"1,320.65","1,348.87","1,301.66","1,309.56","1,309.56",Before
11-Oct-21,"1,305.93","1,362.76","1,291.83","1,343.45","1,343.45",Before
12-Oct-21,"1,324.69","1,326.78","1,324.69","1,326.71","1,326.71",Before
13-Oct-21,"1,324.69","1,353.76","1,293.74","1,345.49","1,345.49",Before
14-Oct-21,"1,383.53","1,383.73","1,377.96","1,378.02","1,378.02",Before
15-Oct-21,"1,383.53","1,471.39","1,363.15","1,443.48","1,443.48",Before
18-Oct-21,"1,440.54","1,441.13","1,435.34","1,435.34","1,435.34",Before
19-Oct-21,"1,440.54","1,483.07","1,435.17","1,481.22","1,481.22",Before
20-Oct-21,"1,540.91","1,544.91","1,536.49","1,543.84","1,543.84",Before
21-Oct-21,"1,540.91","1,569.04","1,477.54","1,490.38","1,490.38",Before
22-Oct-21,"1,488.68","1,513.32","1,431.49","1,444.51","1,444.51",Before
25-Oct-21,"1,504.32","1,506.27","1,501.64","1,506.20","1,506.20",Before
26-Oct-21,"1,476.51","1,478.44","1,462.84","1,469.25","1,469.25",Before
27-Oct-21,"1,476.51","1,494.99","1,391.31","1,406.02","1,406.02",Before
28-Oct-21,"1,412.06","1,501.47","1,391.34","1,491.73","1,491.73",Before
29-Oct-21,"1,475.68","1,531.62","1,469.51","1,522.08","1,522.08",Before
1-Nov-21,"1,497.37","1,518.64","1,454.33","1,486.76","1,486.76",Before
2-Nov-21,"1,495.72","1,567.20","1,486.35","1,550.52","1,550.52",Before
3-Nov-21,"1,548.97","1,567.53","1,517.78","1,559.78","1,559.78",Before
4-Nov-21,"1,552.99","1,559.11","1,500.55","1,523.13","1,523.13",Before
5-Nov-21,"1,518.41","1,547.76","1,508.87","1,518.62","1,518.62",Before
8-Nov-21,"1,639.97","1,659.97","1,636.95","1,659.97","1,659.97",Before
9-Nov-21,"1,656.50","1,659.02","1,652.81","1,656.21","1,656.21",Before
10-Nov-21,"1,601.61","1,601.61","1,581.32","1,587.74","1,587.74",Before
11-Nov-21,"1,617.19","1,617.41","1,614.49","1,614.60","1,614.60",Before
12-Nov-21,"1,617.19","1,627.20","1,541.21","1,581.97","1,581.97",Before
15-Nov-21,"1,590.77","1,635.55","1,572.87","1,579.75","1,579.75",Before
16-Nov-21,"1,486.90","1,488.46","1,482.41","1,484.10","1,484.10",Before
17-Nov-21,"1,471.36","1,474.71","1,466.83","1,468.18","1,468.18",Before
18-Nov-21,"1,471.36","1,497.90","1,382.17","1,407.09","1,407.09",Before
19-Nov-21,"1,413.07","1,451.63","1,369.73","1,443.66","1,443.66",Before
22-Nov-21,"1,406.30","1,406.30","1,397.26","1,400.09","1,400.09",Before
23-Nov-21,"1,442.08","1,445.93","1,441.13","1,445.10","1,445.10",Before
24-Nov-21,"1,424.01","1,427.13","1,423.04","1,423.71","1,423.71",Before
26-Nov-21,"1,486.97","1,495.68","1,331.70","1,365.60","1,365.60",Before
29-Nov-21,"1,402.27","1,471.08","1,402.27","1,460.81","1,460.81",Before
30-Nov-21,"1,464.34","1,466.84","1,459.14","1,462.16","1,462.16",Before
1-Dec-21,"1,451.43","1,456.40","1,450.81","1,455.57","1,455.57",Before
2-Dec-21,"1,449.32","1,449.32","1,441.49","1,441.49","1,441.49",Before
3-Dec-21,"1,449.32","1,467.70","1,328.84","1,367.14","1,367.14",Before
6-Dec-21,"1,265.57","1,286.96","1,205.70","1,286.62","1,286.62",Before
7-Dec-21,"1,298.16","1,303.33","1,294.75","1,302.11","1,302.11",Before
8-Dec-21,"1,298.16","1,332.53","1,269.23","1,320.56","1,320.56",Before
9-Dec-21,"1,310.48","1,330.74","1,229.74","1,251.32","1,251.32",Before
10-Dec-21,"1,248.75","1,286.23","1,214.03","1,237.78","1,237.78",Before
13-Dec-21,"1,283.12","1,284.67","1,156.82","1,177.24","1,177.24",Before
14-Dec-21,"1,197.40","1,216.57","1,197.40","1,215.55","1,215.55",Before
15-Dec-21,"1,197.40","5,062.93","1,167.59","1,249.53","1,249.53",Before
16-Dec-21,"1,239.27","1,259.56","1,221.61","1,230.69","1,230.69",Before
17-Dec-21,"1,225.22","1,225.24","1,158.95","1,188.08","1,188.08",Before
20-Dec-21,"1,214.40","1,214.40","1,159.29","1,205.18","1,205.18",Before
21-Dec-21,"1,192.03","1,249.99","1,192.03","1,242.83","1,242.83",Before
22-Dec-21,"1,244.73","1,244.85","1,236.53","1,239.15","1,239.15",Before
23-Dec-21,"1,244.73","1,301.23","1,220.69","1,288.15","1,288.15",Before
27-Dec-21,"1,295.23","1,295.23","1,288.27","1,289.65","1,289.65",Before
28-Dec-21,"1,206.92","1,208.31","1,203.82","1,208.31","1,208.31",Before
29-Dec-21,"1,189.59","1,190.13","1,163.97","1,165.42","1,165.42",Before
30-Dec-21,"1,183.31","1,186.92","1,181.26","1,185.58","1,185.58",Before
31-Dec-21,"1,183.31","1,215.84","1,154.27","1,166.29","1,166.29",Before
3-Jan-22,"1,201.71","1,205.88","1,163.50","1,171.19","1,171.19",Before
4-Jan-22,"1,178.80","1,179.13","1,174.49","1,175.18","1,175.18",Before
5-Jan-22,"1,102.97","1,108.59","1,101.34","1,108.59","1,108.59",Before
6-Jan-22,"1,093.58","1,093.58","1,090.91","1,090.91","1,090.91",Before
7-Jan-22,"1,093.58","1,093.58","1,024.33","1,039.21","1,039.21",Before
10-Jan-22,979.68,984.59,978.94,983.42,983.42,Before
11-Jan-22,"1,014.62","1,017.13","1,014.36","1,016.73","1,016.73",Before
12-Jan-22,"1,014.62","1,056.19","1,010.75","1,049.27","1,049.27",Before
13-Jan-22,"1,048.86","1,059.58","1,014.29","1,023.65","1,023.65",Before
14-Jan-22,"1,018.51","1,038.53","1,005.28","1,037.76","1,037.76",Before
18-Jan-22,"1,011.08","1,020.58",987.05,"1,009.15","1,009.15",Before
19-Jan-22,"1,012.38","1,186.61",983.79,992.24,992.24,Before
20-Jan-22,996.45,"1,032.88",987.93,992.43,992.43,Before
21-Jan-22,976.17,976.17,834.59,855.97,855.97,Before
24-Jan-22,828.61,833.85,828.57,832.47,832.47,Before
25-Jan-22,834.86,841.22,834.86,841.07,841.07,Before
26-Jan-22,835.69,835.69,835.69,835.69,835.69,Before
27-Jan-22,830.92,836.56,830.37,833.65,833.65,Before
28-Jan-22,830.92,863.83,820.29,861.13,861.13,Before
31-Jan-22,885.7,886.55,885.25,885.42,885.42,Before
1-Feb-22,899.07,903.21,898.58,903.2,903.2,Before
2-Feb-22,864.09,864.33,862.8,863.14,863.14,Before
3-Feb-22,859.81,863.01,859.81,862.14,862.14,Before
4-Feb-22,859.81,950.18,859.81,944.55,944.55,Before
7-Feb-22,"1,025.92","1,026.83","1,020.02","1,020.85","1,020.85",Before
8-Feb-22,"1,018.89","1,022.29","1,018.89","1,022.14","1,022.14",Before
